Criterio Gastos;Criterio ingresos Edison;Fecha;Prestador Servicio;  Labor  ; Clasificaci„n Labores ;  Tractor ;  Lugar  ;  Cultivo  ;  Sector  ;  Orden/report  ;  Chofer  ;  Tractor  ;  Producto  ;  Veces  ;Cantidad;  Unid.  ;  Unitario  ;  Neto  ;  iva  ;  Total  ;  A Empresa  ;  Factura  ; Factura ;
 ValcamLlay llayApio 17Rotovator sin melga ; Brice_oLlay llayApio 17Rotovator sin melga ;09-09-16;Brice_o;Rotovator;Rotovator sin melga;; Llay llay ; Apio 17 ;2;166;;;;1;8;  HA  ;60.000;480.000;;480.000; Valcam ;;;
 ValcamLlay llayApio 17Aplic. Herbicida ; Brice_oLlay llayApio 17Aplic. Herbicida ;09-09-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Llay llay ; Apio 17 ;2;166;;;  Tango/herbadox  ;1;8;  HA  ;20.000;160.000;;160.000; Valcam ;;;
 ValcamLlay llayTomate 17Aplic. Herbicida ; Brice_oLlay llayTomate 17Aplic. Herbicida ;09-09-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Llay llay ; Tomate 17 ;3;169;;;;1;24;  HA  ;20.000;480.000;;480.000; Valcam ;;;
 ValcamLlay llayTomate 17Rastraje ; Brice_oLlay llayTomate 17Rastraje ;09-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Tomate 17 ;3;169;;;;2;24;  HA  ;25.000;1.200.000;;1.200.000; Valcam ;;;
 ValcamLlay llayTomate 17Aradura ; Brice_oLlay llayTomate 17Aradura ;09-09-16;Brice_o;ST;Aradura;; Llay llay ; Tomate 17 ;3;169;;;;1;24;  HA  ;30.000;720.000;;720.000; Valcam ;;;
 ValcamLlay llayTomate 17Rastraje ; Brice_oLlay llayTomate 17Rastraje ;09-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Tomate 17 ;3;169;;;;1;24;  HA  ;25.000;600.000;;600.000; Valcam ;;;
 ValcamLlay llayTomate 17Aradura ; Brice_oLlay llayTomate 17Aradura ;09-09-16;Brice_o;arado vertedera;Aradura;; Llay llay ; Tomate 17 ;3;169;;;;1;24;  HA  ;;  -   ;;  -   ; Valcam ;;;
 ValcamLlay llayTomate 17Rastraje ; Brice_oLlay llayTomate 17Rastraje ;09-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Tomate 17 ;3;169;;;;1;24;  HA  ;25.000;600.000;;600.000; Valcam ;;;
 ValcamLlay llayTomate 17Aplic. Guano ; Brice_oLlay llayTomate 17Aplic. Guano ;09-09-16;Brice_o;Aplic. Guano;Aplic. Guano;; Llay llay ; Tomate 17 ;3;169;;;;1;24;  HA  ;80.000;1.920.000;;1.920.000; Valcam ;;;
 ValcamLlay llayTomate 17Rastraje ; Brice_oLlay llayTomate 17Rastraje ;09-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Tomate 17 ;3;169;;;;1;24;  HA  ;25.000;600.000;;600.000; Valcam ;;;
 ValcamLlay llayTomate 17Aplic. Herbicida ; Brice_oLlay llayTomate 17Aplic. Herbicida ;09-09-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Llay llay ; Tomate 17 ;3;169;;;  Sencor  ;1;24;  HA  ;20.000;480.000;;480.000; Valcam ;;;
 ValcamLlay llayTomate 17Rastraje ; Brice_oLlay llayTomate 17Rastraje ;09-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Tomate 17 ;3;169;;;;1;24;  HA  ;25.000;600.000;;600.000; Valcam ;;;
